Page Name,URL,Path,Page Category,Page Type,Meta Title,Title Length,Title Length Status,Meta Description,Description Length,Description Length Status,H1,H1 Present,H1 vs Title Alignment,Focus Keyword,Keywords,Robots,Canonical Tag,OG Tags,OG Type,OG Image,Twitter Tags,JSON-LD Types,In Sitemap,SEO Component,SEO Score (/100),Grade,Issues,Recommendations,Notes
Home,https://contentai.example/,/,Marketing,Landing,Content AI — AI Blog & Content Creation with Your API Keys,58,Good,"Create SEO-friendly blogs and content using your own OpenAI or Anthropic API keys. Content AI automates drafting while you control cost, privacy, and quality.",158,Good,"Generate blogs with your AI, on your terms",Yes,Partial,,"AI blog generator, auto blog creation, bring your own API key, OpenAI blog writer, AI content platform, SEO blog generator","index, follow",Yes,Yes,website,No,Yes,Organization; WebSite,Yes,Yes,88,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,
About,https://contentai.example/about,/about,Marketing,Content,"About Content AI — Your API Keys, Your Brand Voice",50,Good,"Learn how Content AI helps creators and teams generate marketing content with OpenAI or Anthropic while keeping control of API keys, budget, and brand voice.",157,Good,AI content tools that put you in control,Yes,Mismatch,,"about Content AI, AI writing platform, BYOK AI content, content automation company","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
Blog index,https://contentai.example/blog,/blog,Marketing,Blog listing,"Content AI Blog — AI Writing Tips, Guides & SEO News",52,Good,"Read SEO-friendly articles on AI content creation, blog automation, social media workflows, and marketing tips from the Content AI team every week here.",152,Good,Insights on AI content and SEO,Yes,Mismatch,,"Content AI blog, AI content tips, SEO blog guides, AI writing articles, content marketing blog","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList; Blog,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
How AI Blog Generation Saves 10+ Hours a Week,https://contentai.example/blog/ai-blog-generation-saves-time,/blog/ai-blog-generation-saves-time,Marketing,Blog post,AI Blog Generation Saves Time Weekly Guide | Content AI,55,Good,"See how AI blog generation on Content AI saves ten or more hours weekly on research, outlining, and first drafts while you keep control of your API keys.",153,Good,How AI Blog Generation Saves 10+ Hours a Week,Yes,Partial,AI blog generation time saving,AI blog generation time saving,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Maintaining Brand Voice Across AI-Generated Content,https://contentai.example/blog/brand-voice-ai-generated-content,/blog/brand-voice-ai-generated-content,Marketing,Blog post,Brand Voice for AI-Generated Content Guide | Content AI,55,Good,"Keep brand voice consistent across AI blogs and social posts with Content AI settings, category prompts, and workspace rules your whole team can reuse.",151,Good,Maintaining Brand Voice Across AI-Generated Content,Yes,Partial,brand voice AI content,brand voice AI content,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Why Bring Your Own API Key for AI Content Creation,https://contentai.example/blog/bring-your-own-api-key-ai-content,/blog/bring-your-own-api-key-ai-content,Marketing,Blog post,Bring Your Own API Key for AI Content | Content AI,50,Good,"Discover why Content AI uses a bring-your-own-key model for OpenAI and Anthropic — better cost control, privacy, and flexibility for teams. Practical tips.",155,Good,Why Bring Your Own API Key for AI Content Creation,Yes,Match,bring your own API key,bring your own API key,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
How Category Prompts Improve Auto Blog Quality,https://contentai.example/blog/category-prompts-improve-auto-blog,/blog/category-prompts-improve-auto-blog,Marketing,Blog post,Category Prompts for Auto Blog Quality | Content AI,51,Good,"Improve Auto Blog output with category prompts — tone, audience, and structure rules per content theme before you generate SEO-friendly blog drafts...",150,Good,How Category Prompts Improve Auto Blog Quality,Yes,Partial,auto blog category prompts,auto blog category prompts,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Choosing Focus Keywords Before You Generate,https://contentai.example/blog/choosing-focus-keywords-before-generate,/blog/choosing-focus-keywords-before-generate,Marketing,Blog post,Choosing Focus Keywords Before You Generate | Content AI,56,Good,"Choose focus keywords before AI blog generation — align titles, headings, and meta fields for SEO before Content AI writes your draft. Practical tips for.",154,Good,Choosing Focus Keywords Before You Generate,Yes,Match,focus keyword AI blog,focus keyword AI blog,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Using Claude for Long-Form Editorial Content,https://contentai.example/blog/claude-long-form-editorial-content,/blog/claude-long-form-editorial-content,Marketing,Blog post,Claude for Long-Form Editorial Content | Content AI,51,Good,Use Anthropic Claude for long-form editorial AI content on Content AI — when and how to configure Claude for nuanced articles and explainers. Practical tips.,157,Good,Using Claude for Long-Form Editorial Content,Yes,Match,Claude long form blog,Claude long form blog,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
"Content Length Presets: Short, Medium, and Long Posts",https://contentai.example/blog/content-length-presets-short-medium-long,/blog/content-length-presets-short-medium-long,Marketing,Blog post,Content Length Presets for Auto Blog SEO | Content AI,53,Good,"Auto Blog content length presets — short, medium, long, and custom word counts matched to search intent, SERP competition, and reader expectations....",150,Good,"Content Length Presets: Short, Medium, and Long Posts",Yes,Partial,blog word count AI,blog word count AI,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
